"date","location","variable","value"
2021-01-22,"control","flow_in",39
2021-01-23,"control","flow_in",39
2021-01-24,"control","flow_in",38
2021-01-25,"control","flow_in",39
2021-01-26,"control","flow_in",37
2021-01-27,"control","flow_in",28
2021-01-28,"control","flow_in",36
2021-01-29,"control","flow_in",42
2021-01-30,"control","flow_in",46
2021-01-31,"control","flow_in",46
2021-02-01,"control","flow_in",44.1
2021-02-02,"control","flow_in",36.5
2021-02-03,"control","flow_in",23.1
2021-02-04,"control","flow_in",38.4
2021-02-05,"control","flow_in",45.8
2021-02-06,"control","flow_in",37.4
2021-02-07,"control","flow_in",20.7
2021-02-08,"control","flow_in",18.3
2021-02-09,"control","flow_in",19
2021-02-10,"control","flow_in",23.3
2021-02-11,"control","flow_in",21.1
2021-02-12,"control","flow_in",18.8
2021-02-13,"control","flow_in",20.7
2021-02-14,"control","flow_in",19.7
2021-02-15,"control","flow_in",19
2021-02-16,"control","flow_in",21.3
2021-02-17,"control","flow_in",26.4
2021-02-18,"control","flow_in",30.6
2021-02-19,"control","flow_in",31.2
2021-02-20,"control","flow_in",30.4
2021-02-21,"control","flow_in",42.1
2021-02-22,"control","flow_in",31
2021-02-23,"control","flow_in",46.3
2021-02-24,"control","flow_in",60.2
2021-02-25,"control","flow_in",65.4
2021-02-26,"control","flow_in",62.7
2021-02-27,"control","flow_in",63.1
2021-02-28,"control","flow_in",61.75
2021-03-01,"control","flow_in",67.2
2021-03-02,"control","flow_in",55.9
2021-03-03,"control","flow_in",57.1
2021-03-04,"control","flow_in",61
2021-03-05,"control","flow_in",66.8
2021-03-06,"control","flow_in",63.1
2021-03-07,"control","flow_in",66.1
2021-03-08,"control","flow_in",61.1
2021-03-09,"control","flow_in",59.1
2021-03-10,"control","flow_in",38.4
2021-03-11,"control","flow_in",53.3
2021-03-12,"control","flow_in",56.8
2021-03-13,"control","flow_in",41.1
2021-03-14,"control","flow_in",47.5
2021-03-15,"control","flow_in",47.8
2021-03-16,"control","flow_in",41.1
2021-03-17,"control","flow_in",44.6
2021-03-18,"control","flow_in",64.1
2021-03-19,"control","flow_in",48.8
2021-03-20,"control","flow_in",42.9
2021-03-21,"control","flow_in",42.9
2021-03-22,"control","flow_in",40
2021-03-23,"control","flow_in",45.9
2021-03-24,"control","flow_in",42.9
2021-03-25,"control","flow_in",46.1
2021-03-26,"control","flow_in",53.8
2021-03-27,"control","flow_in",50.7
2021-03-28,"control","flow_in",47.4
2021-03-29,"control","flow_in",39.2
2021-03-30,"control","flow_in",34.9
2021-03-31,"control","flow_in",29.2
2021-04-01,"control","flow_in",33
2021-04-02,"control","flow_in",39
2021-04-03,"control","flow_in",44
2021-04-04,"control","flow_in",44
2021-04-05,"control","flow_in",40
2021-04-06,"control","flow_in",34
2021-04-07,"control","flow_in",37
2021-04-08,"control","flow_in",43
2021-04-09,"control","flow_in",44
2021-04-10,"control","flow_in",46
2021-04-11,"control","flow_in",41
2021-04-12,"control","flow_in",42
2021-04-13,"control","flow_in",35
2021-04-14,"control","flow_in",35
2021-04-15,"control","flow_in",33
2021-04-16,"control","flow_in",37
2021-04-17,"control","flow_in",35
2021-04-18,"control","flow_in",29
2021-04-19,"control","flow_in",38
2021-04-20,"control","flow_in",35
